Version,Model,Transmission,Fuel,City,Road,Average
HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2015,AUT,Gasolina,14.2,21.3,18.08
FUN 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,Gasolina,14.2,20.4,17.83
HIT 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,Gasolina,14.2,20.4,17.83
SEDAN 4PTS 2.5L 4CIL 188HP AUT,2016,AUT,Gasolina,14.2,21.3,18.08
FUN 5PTAS 1.5L 4CIL 130HP CVT,2017,,Gasolina,14.2,20.4,17.83
HIT 5PTAS 1.5L 4CIL 130HP CVT,2017,,Gasolina,14.2,20.4,17.83
s 4PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,Gasolina,14.2,22.1,16.92
s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,Gasolina,14.2,21.3,16.71
s 5PTAS 2.5L 4CIL 188HP AUT R16,2016,AUT,Gasolina,14.2,21.3,16.71
i TOURING 4PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,Gasolina,14.2,22.1,16.92
s 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,14.2,21.3,16.71
s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,14.2,21.3,16.71
i TOURING 5PTAS 2.5L 4CIL 188HP AUT R16,2017,AUT,Gasolina,14.2,21.3,16.71
4PTS 1.4L 4CIL 138HP AUT TURBO,2014,AUT,Gasolina,14.16,22.7,17.05
4PTS 1.4L 4CIL 160HP AUT TURBO,2013,AUT,Gasolina,14.12,22.42,16.94
LX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,Gasolina,14.1,18.3,15.72
LX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,14.1,19.6,16.14
EX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,Gasolina,14.1,18.3,15.72
EX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,14.1,19.6,16.14
EX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,14.1,19.6,16.14
EX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,14.1,18.3,15.72
LX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,14.1,19.6,16.14
LX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,14.1,18.3,15.72
LX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,14.1,18.3,15.72
LX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,14.1,19.6,16.14
EX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,14.1,18.3,15.72
EX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,14.1,19.6,16.14
HATCHBACK 5PTS 2.5L 4CIL 185HP AUT,2014,AUT,Gasolina,14.1,21.1,16.57
HATCHBACK 5PTS 2.5L 4CIL 188HP MAN,2015,MAN,Gasolina,14.1,21.7,18.11
SEDAN 4PTS 2.5L 4CIL 188HP MAN,2016,MAN,Gasolina,14.1,21.5,18.06
HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2016,AUT,Gasolina,14.1,21,17.93
SEDAN 4PTAS 2.5L 4CIL 185HP AUT,2016,AUT,Gasolina,14.1,20.6,16.43
s 5PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,Gasolina,14.1,21.7,16.74
s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,Gasolina,14.1,21,16.55
s 4PTAS 2.5L 4CIL 188HP MAN R18,2017,MAN,Gasolina,14.1,21.5,16.68
i TOURING 5PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,Gasolina,14.1,21.7,16.74
s 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,14.1,21,16.55
s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,14.1,21,16.55
i SPORT 4PTAS 2.5L 4CIL 188HP AUT R17,2017,AUT,Gasolina,14.1,20.6,17.81
HATBACHBACK 5PTAS 2.0L 4CIL 160HP MAN,2017,MAN,Gasolina,14.1,22.1,16.84
SEDAN 4PTAS 2.0L 4CIL 160HP MAN,2017,MAN,Gasolina,14.1,22.1,16.84
