Versión,Modelo,Trans.,Cilindros,Potencia (HP),Tamaño (L),Categoría
5PTAS 1.6L 4CIL 122HP AUT,2018,AUT,4,122,1.6,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 122HP AUT,2016,AUT,4,122,1.6,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2012,MAN,4,160,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 160HP MAN,2012,MAN,4,160,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2013,MAN,4,160,2.0,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 160HP MAN,2013,MAN,4,160,2.0,AUTOS COMPACTOS
FUN 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,4,130,1.5,AUTOS COMPACTOS
HIT 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,4,130,1.5,AUTOS COMPACTOS
SEDAN 4PTS 2.5L 4CIL 188HP MAN,2015,MAN,4,188,2.5,AUTOS COMPACTOS
HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2015,AUT,4,188,2.5,AUTOS COMPACTOS
FUN 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,4,130,1.5,AUTOS COMPACTOS
HIT 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,4,130,1.5,AUTOS COMPACTOS
SEDAN 4PTS 2.5L 4CIL 188HP AUT,2016,AUT,4,188,2.5,AUTOS COMPACTOS
FUN 5PTAS 1.5L 4CIL 130HP CVT,2017,,4,130,1.5,AUTOS COMPACTOS
HIT 5PTAS 1.5L 4CIL 130HP CVT,2017,,4,130,1.5,AUTOS COMPACTOS
s 4PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,4,188,2.5,AUTOS COMPACTOS
s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,4,188,2.5,AUTOS COMPACTOS
s 5PTAS 2.5L 4CIL 188HP AUT R16,2016,AUT,4,188,2.5,AUTOS COMPACTOS
i TOURING 4PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,4,188,2.5,AUTOS COMPACTOS
s 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,4,188,2.5,AUTOS COMPACTOS
s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,4,188,2.5,AUTOS COMPACTOS
i TOURING 5PTAS 2.5L 4CIL 188HP AUT R16,2017,AUT,4,188,2.5,AUTOS COMPACTOS
4PTS 1.4L 4CIL 138HP AUT TURBO,2014,AUT,4,138,1.4,AUTOS COMPACTOS
4PTS 1.4L 4CIL 160HP AUT TURBO,2013,AUT,4,160,1.4,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,4,118,1.5,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,4,118,1.5,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,4,118,1.5,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,4,118,1.5,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,4,118,1.5,AUTOS COMPACTOS
LX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,4,118,1.5,AUTOS COMPACTOS
EX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,4,118,1.5,AUTOS COMPACTOS
HATCHBACK 5PTS 2.5L 4CIL 185HP AUT,2014,AUT,4,185,2.5,AUTOS COMPACTOS
HATCHBACK 5PTS 2.5L 4CIL 188HP MAN,2015,MAN,4,188,2.5,AUTOS COMPACTOS
SEDAN 4PTS 2.5L 4CIL 188HP MAN,2016,MAN,4,188,2.5,AUTOS COMPACTOS
HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2016,AUT,4,188,2.5,AUTOS COMPACTOS
SEDAN 4PTAS 2.5L 4CIL 185HP AUT,2016,AUT,4,188,2.5,AUTOS COMPACTOS
s 5PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,4,188,2.5,AUTOS COMPACTOS
s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,4,188,2.5,AUTOS COMPACTOS
s 4PTAS 2.5L 4CIL 188HP MAN R18,2017,MAN,4,188,2.5,AUTOS COMPACTOS
i TOURING 5PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,4,188,2.5,AUTOS COMPACTOS
s 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,4,188,2.5,AUTOS COMPACTOS
s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,4,188,2.5,AUTOS COMPACTOS
i SPORT 4PTAS 2.5L 4CIL 188HP AUT R17,2017,AUT,4,188,2.5,AUTOS COMPACTOS
HATBACHBACK 5PTAS 2.0L 4CIL 160HP MAN,2017,MAN,4,160,2.0,AUTOS COMPACTOS
SEDAN 4PTAS 2.0L 4CIL 160HP MAN,2017,MAN,4,160,2.0,AUTOS COMPACTOS
4/5PTAS 2.0L 4CIL 160HP MAN,2018,MAN,4,160,2.0,AUTOS COMPACTOS
5PTAS 1.6L 4CIL 122HP TURBO AUT,2018,AUT,4,122,1.6,AUTOS COMPACTOS
CGI 5PTAS 1.6L 4CIL 122HP AUT TURBO,2016,AUT,4,122,1.6,AUTOS COMPACTOS
CGI 5PTS 1.6L 4CIL 121HP AUT TURBO,2013,AUT,4,121,1.6,AUTOS COMPACTOS
CGI 5PTS 1.6L 4CIL 154HP AUT TURBO,2013,AUT,4,154,1.6,AUTOS COMPACTOS
4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,4,150,2.0,AUTOS COMPACTOS
4/5PTS 2.0L 4CIL 160HP MAN,2015,MAN,4,160,2.0,AUTOS COMPACTOS
LX 4PTS 1.5L 4CIL 118HP AUT,2011,AUT,4,118,1.5,AUTOS COMPACTOS
EX 4PTS 1.5L 4CIL 118HP AUT,2011,AUT,4,118,1.5,AUTOS COMPACTOS
LX 4PTS 1.5L 4CIL 118HP AUT,2012,AUT,4,118,1.5,AUTOS COMPACTOS
EX 4PTS 1.5L 4CIL 118HP AUT,2012,AUT,4,118,1.5,AUTOS COMPACTOS
LX 4PTS 1.5L 4CIL 118HP AUT,2013,AUT,4,118,1.5,AUTOS COMPACTOS
EX 4PTS 1.5L 4CIL 118HP AUT,2013,AUT,4,118,1.5,AUTOS COMPACTOS
LX 4PTS 1.5L 4CIL 118HP CVT,2014,CVT,4,118,1.5,AUTOS COMPACTOS
EX 4PTS 1.5L 4CIL 118HP CVT,2014,CVT,4,118,1.5,AUTOS COMPACTOS
LX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,4,118,1.5,AUTOS COMPACTOS
EX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,4,118,1.5,AUTOS COMPACTOS
DX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,4,118,1.5,AUTOS COMPACTOS
DX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,4,118,1.5,AUTOS COMPACTOS
EX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,4,118,1.5,AUTOS COMPACTOS
LX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,4,118,1.5,AUTOS COMPACTOS
DX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,4,118,1.5,AUTOS COMPACTOS
EX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,4,118,1.5,AUTOS COMPACTOS
EXL 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,4,118,1.5,AUTOS COMPACTOS
LX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,4,118,1.5,AUTOS COMPACTOS
i GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R19,2016,AUT,4,188,2.5,AUTOS COMPACTOS
i GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R19,2017,AUT,4,188,2.5,AUTOS COMPACTOS
